id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id
course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,Application Isolation and Sandboxing,course-of-action,M0948,ics,,ics-attack,,0,6,6,0.031578947368421054,0.0,0.031578947368421054,0.0,0.0,1
course-of-action--11f242bc-3121-438c-84b2-5cbd46a4bb17,Filter Network Traffic,course-of-action,M0937,ics,,ics-attack,,0,15,15,0.07894736842105263,0.0,0.07894736842105263,0.0,0.0,0
course-of-action--143b4398-3222-480a-b6a4-e131bc2d3144,Restrict Web-Based Content,course-of-action,M0921,ics,,ics-attack,,0,3,3,0.015789473684210527,0.0,0.015789473684210527,0.0,0.0,1
course-of-action--1cbcceef-3233-4062-aa86-ec91afe39517,Validate Program Inputs,course-of-action,M0818,ics,,ics-attack,,0,2,2,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,2
course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,Network Segmentation,course-of-action,M0930,ics,,ics-attack,,0,28,28,0.14736842105263157,0.0,0.14736842105263157,0.0,0.0,0
course-of-action--2ab9fc6d-3cf6-4d7b-85f1-3ad6949233b3,Restrict Library Loading,course-of-action,M0944,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,0
course-of-action--2f0160b7-e982-49d7-9612-f19b810f1722,Active Directory Configuration,course-of-action,M0915,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,1
course-of-action--3172222b-4983-43f7-8983-753ded4f13bc,Network Intrusion Prevention,course-of-action,M0931,ics,,ics-attack,,0,7,7,0.03684210526315789,0.0,0.03684210526315789,0.0,0.0,1
course-of-action--3222a807-521b-4a1a-aa13-f1cda45734b3,Restrict Registry Permissions,course-of-action,M0924,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,3
course-of-action--337c4e2a-21a7-4d9a-bfee-9efd6cebf0e5,Data Loss Prevention,course-of-action,M0803,ics,,ics-attack,,0,2,2,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,0
course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,Access Management,course-of-action,M0801,ics,,ics-attack,,0,15,15,0.07894736842105263,0.0,0.07894736842105263,0.0,0.0,0
course-of-action--469b78dd-a54d-4f7c-8c3b-4a1dd916b433,Mitigation Limited or Not Effective,course-of-action,M0816,ics,,ics-attack,,0,6,6,0.031578947368421054,0.0,0.031578947368421054,0.0,0.0,3
course-of-action--49363b74-d506-4342-bd63-320586ebadb9,Exploit Protection,course-of-action,M0950,ics,,ics-attack,,0,5,5,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,1
course-of-action--49b306c1-a046-42c5-a4d2-30f264ada110,Limit Access to Resource Over Network,course-of-action,M0935,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,4
course-of-action--4fa717d9-cabe-47c8-8cdd-86e9e2e37f30,Execution Prevention,course-of-action,M0938,ics,,ics-attack,,0,7,7,0.03684210526315789,0.0,0.03684210526315789,0.0,0.0,1
course-of-action--52c7a1a9-3a78-4528-a44f-cd7b0fa3541a,Static Network Configuration,course-of-action,M0814,ics,,ics-attack,,0,7,7,0.03684210526315789,0.0,0.03684210526315789,0.0,0.0,2
course-of-action--5d97c693-e054-48ba-a3a3-eaf6942dfb65,Password Policies,course-of-action,M0927,ics,,ics-attack,,0,5,5,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,4
course-of-action--622fe4d4-0e8e-4d17-9c25-6c9cef1f15d5,Privileged Account Management,course-of-action,M0926,ics,,ics-attack,,0,6,6,0.031578947368421054,0.0,0.031578947368421054,0.0,0.0,1
course-of-action--66cfe23e-34b6-4583-b178-ed6a412db2b0,Human User Authentication,course-of-action,M0804,ics,,ics-attack,,0,16,16,0.08421052631578947,0.0,0.08421052631578947,0.0,0.0,0
course-of-action--6a02e38a-9629-40c0-8c7d-e98e3470315c,SSL/TLS Inspection,course-of-action,M0920,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,2
course-of-action--71eb7dad-07eb-4bbc-9df0-ac57bf2fba4a,Code Signing,course-of-action,M0945,ics,,ics-attack,,0,10,10,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0
course-of-action--72e46e53-e12d-4106-9c70-33241b6ed549,Software Process and Device Authentication,course-of-action,M0813,ics,,ics-attack,,0,17,17,0.08947368421052632,0.0,0.08947368421052632,0.0,0.0,0
course-of-action--7f153c28-e5f1-4764-88fb-eea1d9b0ad4a,Encrypt Network Traffic,course-of-action,M0808,ics,,ics-attack,,0,5,5,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0
course-of-action--86b455f2-fb63-4043-93a8-32a3a7703a02,Account Use Policies,course-of-action,M0936,ics,,ics-attack,,0,2,2,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,4
course-of-action--8a3aadd0-b5f4-433a-800e-4893e4196bb7,Application Developer Guidance,course-of-action,M0913,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,1
course-of-action--8ac1d6e1-b07f-476a-9732-84984ebc2405,Boot Integrity,course-of-action,M0946,ics,,ics-attack,,0,2,2,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,0
course-of-action--8bc4a54e-810c-4600-8b6c-08fa8413a401,Mechanical Protection Layers,course-of-action,M0805,ics,,ics-attack,,0,2,2,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,5
course-of-action--97f33c84-8508-45b9-8a1d-cac921828c9e,Update Software,course-of-action,M0951,ics,,ics-attack,,0,8,8,0.042105263157894736,0.0,0.042105263157894736,0.0,0.0,1
course-of-action--98aa0d61-fc9d-4b2d-8f18-b25d03549f53,Watchdog Timers,course-of-action,M0815,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,2
course-of-action--99c746d7-a08a-4169-94f9-b8c0dad716fa,Operational Information Confidentiality,course-of-action,M0809,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,0
course-of-action--9a945a29-5233-4422-a9e3-3e957b0e8bce,Operating System Configuration,course-of-action,M0928,ics,,ics-attack,,0,2,2,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,3
course-of-action--9e3adcad-0b8f-4ecc-a2f3-06f607f53bf0,Limit Hardware Installation,course-of-action,M0934,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,3
course-of-action--9f99fcfd-772e-4e63-9d39-e45612e546dc,Encrypt Sensitive Information,course-of-action,M0941,ics,,ics-attack,,0,7,7,0.03684210526315789,0.0,0.03684210526315789,0.0,0.0,0
course-of-action--aadac250-bcdc-44e3-a4ae-f52bd0a7a16a,Network Allowlists,course-of-action,M0807,ics,,ics-attack,,0,23,23,0.12105263157894737,0.0,0.12105263157894737,0.0,0.0,2
course-of-action--ac8f3492-7fbb-4a0a-b0b4-b75ec676136c,Supply Chain Management,course-of-action,M0817,ics,,ics-attack,,0,1,1,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,1
course-of-action--ad12819e-3211-4291-b360-069f280cff0a,Data Backup,course-of-action,M0953,ics,,ics-attack,,0,10,10,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,2
course-of-action--b11cad63-ef30-4eb8-af0d-6cc46eef3f3e,Out-of-Band Communications Channel,course-of-action,M0810,ics,,ics-attack,,0,12,12,0.06315789473684211,0.0,0.06315789473684211,0.0,0.0,2
course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,Audit,course-of-action,M0947,ics,,ics-attack,,0,14,14,0.07368421052631578,0.0,0.07368421052631578,0.0,0.0,0
course-of-action--c7257b6e-4159-4771-b1f3-2bb93adaecac,Communication Authenticity,course-of-action,M0802,ics,,ics-attack,,0,16,16,0.08421052631578947,0.0,0.08421052631578947,0.0,0.0,0
course-of-action--d0909119-2f71-4923-87db-b649881672d7,Disable or Remove Feature or Program,course-of-action,M0942,ics,,ics-attack,,0,8,8,0.042105263157894736,0.0,0.042105263157894736,0.0,0.0,1
course-of-action--d48b79b2-076d-483e-949c-0d38aa347499,Threat Intelligence Program,course-of-action,M0919,ics,,ics-attack,,0,3,3,0.015789473684210527,0.0,0.015789473684210527,0.0,0.0,1
course-of-action--da44255d-85c5-492c-baf3-ee823d44f848,Safety Instrumented Systems,course-of-action,M0812,ics,,ics-attack,,0,2,2,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,5
course-of-action--dc61c280-c29d-44e5-a960-c0dd1623d2ba,User Training,course-of-action,M0917,ics,,ics-attack,,0,4,4,0.021052631578947368,0.0,0.021052631578947368,0.0,0.0,0
course-of-action--ddf3e568-f065-49e2-9106-42029a28ddbd,Multi-factor Authentication,course-of-action,M0932,ics,,ics-attack,,0,3,3,0.015789473684210527,0.0,0.015789473684210527,0.0,0.0,4
