id,type,source,target,dataset
relationship--00038d0e-7fc7-41c3-9055-edb4d87ea912,uses,malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,enterprise
relationship--0005fb3b-274a-4ac1-8fb2-51366fcd1a6b,mitigates,course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,attack-pattern--43c9bc06-715b-42db-972f-52d25c09a20c,enterprise
relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8,uses,intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,enterprise
relationship--00192a5f-9dc0-445a-b010-d77bd08aac93,uses,malware--425771c5-48b4-4ecd-9f95-74ed3fc9da59,attack-pattern--bf176076-b789-408e-8cba-7275e81c0ada,enterprise
relationship--001ecf24-8276-40d2-ba05-2d20e5c53ec9,uses,malware--b7010785-699f-412f-ba49-524da6033c76,attack-pattern--132d5b37-aac5-4378-a8dc-3127b18a73dc,enterprise
relationship--0023f0a7-26ae-40ec-ac6e-9dacf5217fb9,uses,malware--a7881f21-e978-4fe4-af56-92c9416a2616,attack-pattern--ca9d3402-ada3-484d-876a-d717bd6e05f2,enterprise
relationship--0024d82d-97ea-4dc5-81a1-8738862e1f3b,uses,malware--8901ac23-6b50-410c-b0dd-d8174a86f9b3,attack-pattern--f3c544dc-673c-4ef3-accb-53229f1ae077,enterprise
relationship--002c9202-d7a0-4181-b912-42f7d6d38339,uses,malware--8c050cea-86e1-4b63-bf21-7af4fa483349,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,enterprise
relationship--002e561a-5500-4293-a876-01e8205a67c8,uses,campaign--df74f7ad-b10d-431c-9f1d-a2bc18dadefa,attack-pattern--4fe28b27-b13c-453e-a386-c2ef362a573b,enterprise
relationship--002f1039-f4c5-4c60-b8ac-ced374bec2ac,uses,intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,attack-pattern--10ffac09-e42d-4f56-ab20-db94c67d76ff,enterprise
relationship--003071c1-a640-4f29-8405-a3998dfaf11f,uses,intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,attack-pattern--f5d8eed6-48a9-4cdf-a3d7-d1ffa99c3d2a,enterprise
relationship--0032f447-1ab7-427d-b7ae-baa436dc2411,uses,campaign--b03d5112-e23a-4ac8-add0-be7502d24eff,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,enterprise
relationship--0038b0b8-f51c-4fd1-8b04-2fd7ebd1d61d,uses,intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,attack-pattern--635cbe30-392d-4e27-978e-66774357c762,enterprise
relationship--003eed51-a560-44f1-9149-5a11bdaebe6f,uses,malware--3553b49d-d4ae-4fb6-ab17-0adbc520c888,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f,enterprise
relationship--003f23dd-24c7-4b3b-b703-0bf081d638f4,uses,intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,malware--b42378e0-f147-496f-992a-26a49705395b,enterprise
relationship--0040312a-e85d-4066-8203-2e66f8aa5288,uses,malware--8ec6e3b4-b06d-4805-b6aa-af916acc2122,attack-pattern--4ab929c6-ee2d-4fb5-aab4-b14be2ed7179,enterprise
relationship--0040fdbd-ec7e-49b3-b715-c8c91e08666b,uses,malware--0f862b01-99da-47cc-9bdb-db4a86a95bb1,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,enterprise
relationship--00490a17-1032-461b-8085-500d56bb80f5,uses,malware--1492d0f8-7e14-4af3-9239-bc3fe10d3407,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa,enterprise
relationship--004cc00b-0a84-4783-aa4e-16b47f7465b2,uses,malware--7e100ca4-e639-48d9-9a9d-8ad84aa7b448,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,enterprise
relationship--004fbe29-2537-418e-9951-a2750a5fa901,mitigates,course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,attack-pattern--67073dde-d720-45ae-83da-b12d5e73ca3b,enterprise
relationship--0051db4d-9eb9-4b22-93a5-b6593176da75,uses,malware--c46eb8e6-bf29-4696-8008-3ddb0b4ca470,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,enterprise
relationship--00561c3c-345e-4578-95c3-b7e0a95db7b1,uses,intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9,enterprise
relationship--0057843b-ebe3-43f9-9ae0-90c8bdc802fc,uses,intrusion-set--461b8e25-8f4a-4ea2-a4a8-e39df7ce6630,attack-pattern--b0533c6e-8fea-4788-874f-b799cacc4b92,enterprise
relationship--0058d5dd-bf42-4a09-94ff-dfb024b949df,mitigates,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--8868cb5b-d575-4a60-acb2-07d37389a2fd,enterprise
relationship--0059d5e7-7a7f-4a13-8730-00383bad2e98,uses,malware--e23d2777-b85d-44fc-861e-9149d399fbb9,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,enterprise
relationship--005b46de-6241-413e-ba13-e0c2cc8efa77,mitigates,course-of-action--b5dbb4c5-b0b1-40b1-80b6-e9e84ab90067,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,enterprise
relationship--005b6fd1-be80-424b-b6df-2ff88d390b1b,uses,malware--5c747acd-47f0-4c5a-b9e5-213541fc01e0,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,enterprise
relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b,uses,malware--d906e6f7-434c-44c0-b51a-ed50af8f7945,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,enterprise
relationship--006104e8-1188-4fcf-b0b0-c7a7131bcdad,uses,intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,malware--64fa0de0-6240-41f4-8638-f4ca7ed528fd,enterprise
