id,type,source,target,dataset
relationship--00b9e63b-57a7-408e-83d6-fc03535010a6,uses,campaign--46421788-b6e1-4256-b351-f8beffd1afba,attack-pattern--8d2f3bab-507c-4424-b58b-edc977bd215c,ics
relationship--00e6c22b-9275-4039-b6d4-2ac0680325d6,mitigates,course-of-action--aadac250-bcdc-44e3-a4ae-f52bd0a7a16a,attack-pattern--25dfc8ad-bd73-4dfd-84a9-3c3d383f76e9,ics
relationship--01b4a92f-da42-4dfa-8d59-53709b65940e,mitigates,course-of-action--e57ebc6d-785f-40c8-adb1-b5b5e09b3b48,attack-pattern--063b5b92-5361-481a-9c3f-95492ed9a2d8,ics
relationship--028a3bcc-f299-4061-a0f2-8da85e0a3c81,mitigates,course-of-action--72e46e53-e12d-4106-9c70-33241b6ed549,attack-pattern--be69c571-d746-4b1f-bdd0-c0c9817e9068,ics
relationship--03a9cdc7-3cc5-43e3-9a9c-97d1c4310e35,mitigates,course-of-action--66cfe23e-34b6-4583-b178-ed6a412db2b0,attack-pattern--e5de767e-f513-41cd-aa15-33f6ce5fbf92,ics
relationship--03b4dae7-3b20-4ea9-9f7c-6c97582f98b7,uses,campaign--45a98f02-852f-49b2-94c0-c63207bebbbf,attack-pattern--9a505987-ab05-4f46-a9a6-6441442eec3b,ics
relationship--03d44496-7a15-4e23-820f-b6f1079dbbd3,mitigates,course-of-action--97f33c84-8508-45b9-8a1d-cac921828c9e,attack-pattern--5e0f75da-e108-4688-a6de-a4f07cc2cbe3,ics
relationship--03e80e3c-28b9-4e7f-8b17-7c86d1483b91,mitigates,course-of-action--9f99fcfd-772e-4e63-9d39-e45612e546dc,attack-pattern--fa3aa267-da22-4bdd-961f-03223322a8d5,ics
relationship--042243fd-bfe0-4961-96de-a36232d3ff74,uses,intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,attack-pattern--7830cfcf-b268-4ac0-a69e-73c6affbae9a,ics
relationship--04882fef-2a6b-40d0-a101-da9c76a3572e,mitigates,course-of-action--2ab9fc6d-3cf6-4d7b-85f1-3ad6949233b3,attack-pattern--ab390887-afc0-4715-826d-b1b167d522ae,ics
relationship--0491ef92-2941-4841-9fe6-2e1809788b52,mitigates,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,attack-pattern--5e0f75da-e108-4688-a6de-a4f07cc2cbe3,ics
relationship--04bf72de-75ba-4d95-ad24-f93ad835180c,uses,malware--e221eb77-1502-4129-af1d-fe1ad55e7ec6,attack-pattern--138979ba-0430-4de6-a128-2fc0b056ba36,ics
relationship--04fa6b94-d633-40ff-9ab2-88f58c07c3e1,mitigates,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,attack-pattern--b9160e77-ea9e-4ba9-b1c8-53a3c466b13d,ics
relationship--058396ca-3af4-444b-b261-74485c47e68c,uses,malware--2eaa5319-5e1e-4dd7-bbc4-566fced3964a,attack-pattern--85a45294-08f1-4539-bf00-7da08aa7b0ee,ics
relationship--064dfd6f-db5d-48e8-b350-9dd47a270911,uses,malware--d3aa1058-b1b3-4c29-a3ba-9a9b90ccd93b,attack-pattern--25852363-5968-4673-b81d-341d5ed90bd1,ics
relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,uses,malware--083bb47b-02c8-4423-81a2-f9ef58572974,attack-pattern--2fedbe69-581f-447d-8a78-32ee7db939a9,ics
relationship--06c663f8-fcf1-47eb-ab79-284e93eafa6b,mitigates,course-of-action--72e46e53-e12d-4106-9c70-33241b6ed549,attack-pattern--3067b85e-271e-4bc5-81ad-ab1a81d411e3,ics
relationship--07c0e166-f05e-413f-8f3e-f487317c9626,mitigates,course-of-action--1cbcceef-3233-4062-aa86-ec91afe39517,attack-pattern--40b300ba-f553-48bf-862e-9471b220d455,ics
relationship--07f4d65d-4572-450f-8cb2-908fee97bd67,mitigates,course-of-action--4fa717d9-cabe-47c8-8cdd-86e9e2e37f30,attack-pattern--2736b752-4ec5-4421-a230-8977dea7649c,ics
relationship--08302021-aacf-428f-a0ce-e1034d925fb0,mitigates,course-of-action--d48b79b2-076d-483e-949c-0d38aa347499,attack-pattern--9f947a1c-3860-48a8-8af0-a2dfa3efde03,ics
relationship--088580e9-ccea-426e-9411-c1de60de650d,mitigates,course-of-action--72e46e53-e12d-4106-9c70-33241b6ed549,attack-pattern--8535b71e-3c12-4258-a4ab-40257a1becc4,ics
relationship--09977105-562f-4f45-a151-27a11a18031e,mitigates,course-of-action--9f99fcfd-772e-4e63-9d39-e45612e546dc,attack-pattern--efbf7888-f61b-4572-9c80-7e2965c60707,ics
relationship--0a5d2136-e1f5-4a54-be64-a558f918bf0d,mitigates,course-of-action--66cfe23e-34b6-4583-b178-ed6a412db2b0,attack-pattern--e6c31185-8040-4267-83d3-b217b8a92f07,ics
relationship--0beb0088-3bea-4612-b2d9-ff9988f829ae,uses,intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,attack-pattern--c5e3cdbc-0387-4be9-8f83-ff5c0865f377,ics
relationship--0c1fe5fc-3bdc-4d0e-94a0-6564f2ce4444,uses,malware--2eaa5319-5e1e-4dd7-bbc4-566fced3964a,attack-pattern--7830cfcf-b268-4ac0-a69e-73c6affbae9a,ics
relationship--0c284ce0-0be2-4164-b686-7c383b246aec,mitigates,course-of-action--8ac1d6e1-b07f-476a-9732-84984ebc2405,attack-pattern--efbf7888-f61b-4572-9c80-7e2965c60707,ics
relationship--0c9ed09d-4ce3-4e65-845a-c21dcc5d956f,mitigates,course-of-action--b11cad63-ef30-4eb8-af0d-6cc46eef3f3e,attack-pattern--008b8f56-6107-48be-aa9f-746f927dbb61,ics
relationship--0d4f2f88-e176-42c7-8258-52b345045662,uses,malware--d3aa1058-b1b3-4c29-a3ba-9a9b90ccd93b,attack-pattern--e076cca8-2f08-45c9-aff7-ea5ac798b387,ics
relationship--0d563cbc-b22c-4748-b082-db98bb7f0dab,uses,malware--b34df04a-9d30-4d84-a03f-0d536ee19a05,attack-pattern--097924ce-a9a9-4039-8591-e0deedfb8722,ics
relationship--0df0cb6d-0067-48b2-a33e-495415713ab7,mitigates,course-of-action--c7257b6e-4159-4771-b1f3-2bb93adaecac,attack-pattern--3067b85e-271e-4bc5-81ad-ab1a81d411e3,ics
relationship--0e29f62d-4ffc-47ec-9623-72f874fbe905,uses,malware--088f1d6e-0783-47c6-9923-9c79b2af43d4,attack-pattern--ba203963-3182-41ac-af14-7e7ebc83cd61,ics
relationship--0e4f272b-d744-4feb-9f3f-c24c3598538f,mitigates,course-of-action--3222a807-521b-4a1a-aa13-f1cda45734b3,attack-pattern--063b5b92-5361-481a-9c3f-95492ed9a2d8,ics
relationship--0eb112f6-c1cb-4843-93f5-f668aa0e9bd8,uses,intrusion-set--190242d7-73fc-4738-af68-20162f7a5aae,attack-pattern--cd2c76a4-5e23-4ca5-9c40-d5e0604f7101,ics
relationship--0f18b876-b698-4f70-aa98-50e8b5a7eae2,uses,intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,attack-pattern--648f995e-9c3a-41e4-aeee-98bb41037426,ics
relationship--0f8a6c14-1050-404a-bb6e-4fe107d5b6cd,mitigates,course-of-action--72e46e53-e12d-4106-9c70-33241b6ed549,attack-pattern--b14395bd-5419-4ef4-9bd8-696936f509bb,ics
relationship--0ff88ef7-44fd-4307-b381-2e0bc76ce83b,mitigates,course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,attack-pattern--e076cca8-2f08-45c9-aff7-ea5ac798b387,ics
relationship--0ffdee1a-1e83-4506-aba2-38c55812abb3,mitigates,course-of-action--da44255d-85c5-492c-baf3-ee823d44f848,attack-pattern--5fa00fdd-4a55-4191-94a0-564181d7fec2,ics
relationship--104b4f25-d0a9-41f6-94b3-fa85ee8b1523,mitigates,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,attack-pattern--cd2c76a4-5e23-4ca5-9c40-d5e0604f7101,ics
relationship--10626671-941d-4a82-a835-56059058ef87,mitigates,course-of-action--aadac250-bcdc-44e3-a4ae-f52bd0a7a16a,attack-pattern--19a71d1e-6334-4233-8260-b749cae37953,ics
relationship--107d9a23-991b-44f5-97f6-7f6983c7013a,mitigates,course-of-action--72e46e53-e12d-4106-9c70-33241b6ed549,attack-pattern--2aa406ed-81c3-4c1d-ba83-cfbee5a2847a,ics
relationship--111f437a-c67d-40e4-9515-7e9b22e65eff,mitigates,course-of-action--622fe4d4-0e8e-4d17-9c25-6c9cef1f15d5,attack-pattern--cd2c76a4-5e23-4ca5-9c40-d5e0604f7101,ics
relationship--11e4eb54-b0b3-4f67-a93f-28cc10df00ab,uses,malware--00e7d565-9883-4ee5-b642-8fd17fd6a3f5,attack-pattern--063b5b92-5361-481a-9c3f-95492ed9a2d8,ics
relationship--129a4d3f-fa4a-42c3-833e-8f15155b9693,uses,intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,malware--2eaa5319-5e1e-4dd7-bbc4-566fced3964a,ics
relationship--12a6c5bc-c685-4249-b8c6-e6d49aa2b9ed,mitigates,course-of-action--c7257b6e-4159-4771-b1f3-2bb93adaecac,attack-pattern--2883c520-7957-46ca-89bd-dab1ad53b601,ics
relationship--12e84466-fb05-4d55-9220-5933ee0fcb43,uses,campaign--1169ff24-b35f-4d8d-8cf3-643a2834227f,malware--b34df04a-9d30-4d84-a03f-0d536ee19a05,ics
relationship--13809e98-1d74-4c39-b882-9d523c76cbde,uses,malware--80099a91-4c86-4bea-9ccb-dac55d61960e,attack-pattern--b52870cc-83f3-473c-b895-72d91751030b,ics
relationship--139bb9e7-e5fd-4366-b2e6-4f74a73ec984,mitigates,course-of-action--52c7a1a9-3a78-4528-a44f-cd7b0fa3541a,attack-pattern--3f1f4ccb-9be2-4ff8-8f69-dd972221169b,ics
relationship--13d76624-7049-45c5-94d3-8f172b7f6336,uses,campaign--46421788-b6e1-4256-b351-f8beffd1afba,attack-pattern--d67adac8-e3b9-44f9-9e6d-6c2a7d69dbe4,ics
relationship--147c2158-b2af-4d88-9d59-594c67a9200e,mitigates,course-of-action--c7257b6e-4159-4771-b1f3-2bb93adaecac,attack-pattern--8535b71e-3c12-4258-a4ab-40257a1becc4,ics
relationship--1673b2e2-7799-4b5f-b5a9-2c51426a6916,uses,campaign--8fda050f-470d-4401-994e-35c1a6c301de,attack-pattern--b5b9bacb-97f2-4249-b804-47fd44de1f95,ics
relationship--172e0537-7a9c-4610-9b07-32a841f0bd8d,uses,malware--68dca94f-c11d-421e-9287-7c501108e18c,attack-pattern--fa3aa267-da22-4bdd-961f-03223322a8d5,ics
