id,type,source,target,dataset
relationship--0008005f-ca51-47c3-8369-55ee5de1c65a,uses,malware--20dbaf05-59b8-4dc6-8777-0b17f4553a23,attack-pattern--3775a580-a1d1-46c4-8147-c614a715f2e9,mobile
relationship--006b3910-e9c3-4de8-ba49-dff36b1a3308,uses,malware--2aec175b-4429-4048-8e09-3ef6cbecfc64,attack-pattern--39dd7871-f59b-495f-a9a5-3cb8cc50c9b2,mobile
relationship--00711e74-0877-4829-afc0-dfbe63901b4f,uses,malware--bf064476-25b8-493c-a1e7-dd707b3f7f52,attack-pattern--d446b9f0-06a9-4a8d-97ee-298cfee84f14,mobile
relationship--00cac496-7350-4023-b29e-42c81e3c50bd,uses,malware--6ceb0644-0ae9-4ee1-a659-3888687cb03b,attack-pattern--1d1b1558-c833-482e-aabb-d07ef6eae63d,mobile
relationship--00dc2b34-1b74-4dae-b6e4-b676528d6341,uses,malware--f082fc59-0317-49cf-971f-a1b6296ebb52,attack-pattern--6c49d50f-494d-4150-b774-a655022d20a6,mobile
relationship--0100020b-97d4-4657-bc71-c6a1774055a6,uses,malware--0b9c5d11-651a-4378-b129-5c584d0242c5,attack-pattern--32063d7f-0a39-440d-a4a3-2694488f96cc,mobile
relationship--01563962-2ccb-4bbc-8ef7-512a950ea47c,uses,campaign--d0695b5f-b761-49e0-b3e3-2e5307f8def3,attack-pattern--198ce408-1470-45ee-b47f-7056050d4fc2,mobile
relationship--01753250-4bfa-4671-bcce-0e3cf19c0ae9,uses,malware--2cf00c5a-857d-4cb6-8f03-82f15bee0f6f,attack-pattern--52eff1c7-dd30-4121-b762-24ae6fa61bbb,mobile
relationship--01fd0686-d67f-4396-8812-3533063dd6b4,uses,malware--2cf00c5a-857d-4cb6-8f03-82f15bee0f6f,attack-pattern--0d4e3bbb-7af5-4c88-a215-0c0906bc1e8d,mobile
relationship--020a1aaa-a444-4f3c-a08b-f1369be276f2,uses,malware--838f647e-8ff8-48bd-bbd5-613cee7736cb,attack-pattern--d4536441-1bcc-49fa-80ae-a596ed3f7ffd,mobile
relationship--020f79c6-d5f8-49eb-beee-e716e1fa4e80,uses,malware--2740eaf6-2db2-4a40-a63f-f5b166c7059c,attack-pattern--e2ea7f6b-8d4f-49c3-819d-660530d12b77,mobile
relationship--021ca5c4-7e8a-439b-8c2e-38f817db63e3,uses,malware--2aec175b-4429-4048-8e09-3ef6cbecfc64,attack-pattern--6ffad4be-bfe0-424f-abde-4d9a84a800ad,mobile
relationship--022e941f-30c3-45a9-9f6f-36e704b80060,uses,malware--21170624-89db-4e99-bf27-58d26be07c3a,attack-pattern--3775a580-a1d1-46c4-8147-c614a715f2e9,mobile
relationship--024f9ee4-cb7d-49f4-b180-ad1e5e168a4c,mitigates,course-of-action--0beabf44-e8d8-4ae4-9122-ef56369a2564,attack-pattern--1b51f5bc-b97a-498a-8dbd-bc6b1901bf19,mobile
relationship--027a36dc-cd9e-4282-b101-b9a0abbb312f,uses,malware--3271c107-92c4-442e-9506-e76d62230ee8,attack-pattern--e3b936a4-6321-4172-9114-038a866362ec,mobile
relationship--02b3c8fe-1539-4c77-b67e-07fa8a22c91e,uses,malware--e13d084c-382f-40fd-aa9a-98d69e20301e,attack-pattern--351c0927-2fc1-4a2c-ad84-cbbee7eb8172,mobile
relationship--02b5cb07-9eb5-4e47-a4df-9c3985ad70fc,uses,malware--e110f94a-e2c5-4f5f-ba78-9c2ab6d2d9e4,attack-pattern--4f14e30b-8b57-4a7b-9093-2c0778ea99cf,mobile
relationship--03038590-e0c3-4751-b6fb-8a9ffff27e1b,uses,malware--0b9c5d11-651a-4378-b129-5c584d0242c5,attack-pattern--cf28ca46-1fd3-46b4-b1f6-ec0b72361848,mobile
relationship--03172b09-4f97-4fb8-95f0-92b2d8957408,uses,malware--aecc0097-c9f8-4786-9b39-e891ff173f54,attack-pattern--bb4387ab-7a51-468b-bf5f-a9a8612f0303,mobile
relationship--03239f6a-a314-4ee0-81fa-006a39209b63,uses,malware--6ceb0644-0ae9-4ee1-a659-3888687cb03b,attack-pattern--337e1136-a6d3-4465-a5c5-fdc658117747,mobile
relationship--035192e3-94f4-426d-9be9-312ddd1ce6a8,uses,malware--6fcaf9b0-b509-4644-9f93-556222c81ed2,attack-pattern--c6421411-ae61-42bb-9098-73fddb315002,mobile
relationship--035bdf9a-dc4c-403a-b5c4-9b9b42675122,uses,malware--1393fb21-d09f-4ce8-96cf-1bcc9881765f,attack-pattern--2bb20118-e6c0-41dc-a07c-283ea4dd0fb8,mobile
relationship--03ff6271-d7bc-40f3-b83d-25c541333694,mitigates,course-of-action--653492e3-27be-4a0e-b08c-938dd2b7e0e1,attack-pattern--648f8051-1a35-46d3-b1d8-3a3f5cf2cc8e,mobile
relationship--042a4f26-612e-4ed5-b7f3-911a47ec5d71,uses,malware--e110f94a-e2c5-4f5f-ba78-9c2ab6d2d9e4,attack-pattern--37047267-3e56-453c-833e-d92b68118120,mobile
relationship--04530307-22d8-4a06-9056-55eea225fabb,uses,malware--c41a8b7c-3e42-4eee-b87d-ad8a100ee878,attack-pattern--702055ac-4e54-4ae9-9527-e23a38e0b160,mobile
relationship--046acda0-91de-4385-bcfb-157570d8e51d,uses,malware--4b53eb01-57d7-47b4-b078-22766b002b36,attack-pattern--198ce408-1470-45ee-b47f-7056050d4fc2,mobile
relationship--049a5149-00c9-492a-8ffb-463f3d0cd910,mitigates,course-of-action--0beabf44-e8d8-4ae4-9122-ef56369a2564,attack-pattern--f05fc151-aa62-47e3-ae57-2d1b23d64bf6,mobile
relationship--049b0c71-63e3-47ce-bb0b-149df0344b15,uses,malware--ddbe5657-e21e-4a89-8221-2f1362d397ec,attack-pattern--e0b9ecb8-a7d1-43c7-aa30-8e19c6a92c86,mobile
relationship--049c39ab-c036-457a-9b8f-4318416658b8,mitigates,course-of-action--8ccd428d-39da-4e8f-a55b-d48ea1d56e58,attack-pattern--4f14e30b-8b57-4a7b-9093-2c0778ea99cf,mobile
relationship--04ae1d87-1741-4cfd-84ff-3c5e46c0b112,subtechnique-of,attack-pattern--fd211238-f767-4599-8c0d-9dca36624626,attack-pattern--2ccc3d39-9598-4d32-9657-42e1c7095d26,mobile
relationship--04eeed4b-e0fc-4fff-8c61-4c175f26a0fe,uses,malware--22b596a6-d288-4409-8520-5f2846f85514,attack-pattern--6c49d50f-494d-4150-b774-a655022d20a6,mobile
relationship--05243ccb-0aeb-4db4-bb03-51a65fb715ab,uses,malware--3271c107-92c4-442e-9506-e76d62230ee8,attack-pattern--ec4c4baa-026f-43e8-8f56-58c36f3162dd,mobile
relationship--052576f4-0b54-44be-840d-a9c8bb7cb980,uses,malware--6ceb0644-0ae9-4ee1-a659-3888687cb03b,attack-pattern--198ce408-1470-45ee-b47f-7056050d4fc2,mobile
relationship--05563777-5771-4bd6-a1af-3e244cf42372,uses,malware--3bc1f0ad-ef11-4afc-83c0-fcffe08d4e50,attack-pattern--e2ea7f6b-8d4f-49c3-819d-660530d12b77,mobile
relationship--0569a1e0-1eb5-4e87-ae09-b698571012ef,uses,malware--35aae10a-97c5-471a-9c67-02c231a7a31a,attack-pattern--c6421411-ae61-42bb-9098-73fddb315002,mobile
relationship--05a0ac14-12c3-428c-9567-fecb3e29abe3,uses,malware--3cf81957-489a-469f-b013-362d548a96c1,attack-pattern--648f8051-1a35-46d3-b1d8-3a3f5cf2cc8e,mobile
relationship--05c57e75-04b8-4bf6-8022-2e89f74e4b76,uses,malware--aef537ba-10c2-40ed-a57a-80b8508aada4,attack-pattern--1d1b1558-c833-482e-aabb-d07ef6eae63d,mobile
relationship--06348e22-9a06-4e4c-a57c-e438462e7fce,uses,malware--3a913bac-4fae-4d0e-bca8-cae452f1599b,attack-pattern--6683aa0c-d98a-4f5b-ac57-ca7e9934a760,mobile
relationship--06869cb8-7384-4d85-aa0a-78256133c88d,uses,malware--95811c0a-abe0-4e7f-a0cc-b0662ced5807,attack-pattern--351ddf79-2d3a-41b4-9bef-82ea5d3ccd69,mobile
relationship--068c3d23-8aa2-48e9-acb3-c72651c94f0b,uses,campaign--a82bc5ad-5f95-4c6a-9f25-aaf6f476a3c4,attack-pattern--114fed8b-7eed-4136-8b9c-411c5c7fff4b,mobile
relationship--069b2328-442b-491e-962d-d3fe01f0549e,uses,malware--6a7aaab1-3e0a-48bb-ba66-bbf7665c0a65,attack-pattern--ec4c4baa-026f-43e8-8f56-58c36f3162dd,mobile
relationship--06e2e07f-7835-4ef8-bcc0-bb5e2886839d,uses,malware--2cf00c5a-857d-4cb6-8f03-82f15bee0f6f,attack-pattern--e2ea7f6b-8d4f-49c3-819d-660530d12b77,mobile
relationship--07036963-6f5e-4eb5-9b20-3f81dd582c85,uses,malware--f3975cc0-72bc-4308-836e-ac701b83860e,attack-pattern--e2ea7f6b-8d4f-49c3-819d-660530d12b77,mobile
relationship--0727ac06-5b46-4f79-abe9-63c1b923d383,uses,malware--2aec175b-4429-4048-8e09-3ef6cbecfc64,attack-pattern--693cdbff-ea73-49c6-ac3f-91e7285c31d1,mobile
relationship--076d8c54-e6f6-47c4-9f61-52964d4f1c35,uses,campaign--a82bc5ad-5f95-4c6a-9f25-aaf6f476a3c4,attack-pattern--bb4387ab-7a51-468b-bf5f-a9a8612f0303,mobile
relationship--078653a6-3613-4923-ae5a-1bccb8552e67,uses,malware--f666e17c-b290-43b3-8947-b96bd5148fbb,attack-pattern--6c49d50f-494d-4150-b774-a655022d20a6,mobile
relationship--0791f28b-d06f-4fee-9cdb-85a6fd2eed61,uses,malware--326eaf7b-5784-4f08-8fc2-61fd5d5bc5fb,attack-pattern--667e5707-3843-4da8-bd34-88b922526f0d,mobile
relationship--079911c5-0db9-4eb2-ab85-6ed6e118fbbc,mitigates,course-of-action--653492e3-27be-4a0e-b08c-938dd2b7e0e1,attack-pattern--ab7400b7-3476-4776-9545-ef3fa373de63,mobile
relationship--07c727a6-6323-477a-bb55-34e130959b4e,uses,malware--52c994fa-b6c8-45a8-9586-a4275cf19307,attack-pattern--114fed8b-7eed-4136-8b9c-411c5c7fff4b,mobile
relationship--07ccc973-19fb-4926-953a-9ec205372683,uses,malware--2cf00c5a-857d-4cb6-8f03-82f15bee0f6f,attack-pattern--2204c371-6100-4ae0-82f3-25c07c29772a,mobile
relationship--07dd3318-2965-4085-be64-a8e956c7b8da,uses,malware--e296b110-46d3-4f7a-894c-cc71ea50168c,attack-pattern--d13fa042-8f26-44e1-a2a8-af0bf8e2ac9a,mobile
relationship--07fd2c39-c3e2-4044-b00b-71250cd7df2e,subtechnique-of,attack-pattern--fcb11f06-ce0e-490b-bcc1-04a1623579f0,attack-pattern--79cb02f4-ac4e-4335-8b51-425c9573cce1,mobile
relationship--0803b497-5064-4b7b-9db9-4e9c37b0b8c1,uses,malware--6ceb0644-0ae9-4ee1-a659-3888687cb03b,attack-pattern--defc1257-4db1-4fb3-8ef5-bb77f63146df,mobile
relationship--082c3bd7-6088-4364-ae75-0eb45a635583,uses,malware--b0a243dd-8075-42f9-86f6-64989600ed20,attack-pattern--498e7b81-238d-404c-aa5e-332904d63286,mobile
relationship--084786ee-9384-4a00-9e1b-48f94ea70126,uses,malware--3049b2f2-e323-4cdb-91cb-13b37b904cbb,attack-pattern--a9fa0d30-a8ff-45bf-922e-7720da0b7922,mobile
relationship--085f8397-0233-42d7-855e-3dbd709f2eca,uses,malware--9cd72f5c-bec0-4f7e-bb6d-296937116291,attack-pattern--6c49d50f-494d-4150-b774-a655022d20a6,mobile
relationship--087609b6-cc6c-402f-ada9-00dbcbfecbe8,mitigates,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,attack-pattern--789ef15a-34d9-4b32-a779-8cbbc9eb32f5,mobile
relationship--088c74f5-4b43-48aa-a2be-275f0c02ffc8,uses,malware--a2ee7d2d-fb45-44f3-8f67-9921c7810db1,attack-pattern--702055ac-4e54-4ae9-9527-e23a38e0b160,mobile
relationship--0891421a-8476-4d37-b274-645b90f139c7,uses,campaign--a82bc5ad-5f95-4c6a-9f25-aaf6f476a3c4,attack-pattern--dd818ea5-adf5-41c7-93b5-f3b839a219fb,mobile
relationship--08a43019-d393-451f-a23c-2dfa17ec40b2,uses,malware--d6e009b7-df5e-447a-bfd2-d5b77374edfe,attack-pattern--b327a9c0-e709-495c-aa6e-00b042136e2b,mobile
relationship--08c81253-975c-4780-8e85-c72bc6a90c88,uses,malware--f7e7b736-2cff-4c2a-9232-352cd383463a,attack-pattern--a8e971b8-8dc7-4514-8249-ae95427ec467,mobile
relationship--08f1a4b1-96c9-44c2-bc5b-5a779541213b,uses,malware--22b596a6-d288-4409-8520-5f2846f85514,attack-pattern--c6e17ca2-08b5-4379-9786-89bd05241831,mobile
relationship--09059576-658b-4944-9f7b-df003319fdaa,uses,malware--21170624-89db-4e99-bf27-58d26be07c3a,attack-pattern--45a5fe76-eda3-4d40-8f22-c186efd6278d,mobile
relationship--094f56d7-1a7d-4937-ac1a-d2337626feaa,uses,malware--1393fb21-d09f-4ce8-96cf-1bcc9881765f,attack-pattern--bb4387ab-7a51-468b-bf5f-a9a8612f0303,mobile
relationship--0972d3cf-717e-4ed2-a89d-9cbe61081956,uses,malware--a993495c-9813-4372-b9ec-d168c7f7ec0a,attack-pattern--2282a98b-5049-4f61-9381-55baca7c1add,mobile
relationship--0993769f-63fb-4720-bbcf-e6f37f71515e,uses,malware--21b7e0b0-0dea-4ccc-8ad4-8da51fe3a901,attack-pattern--e2ea7f6b-8d4f-49c3-819d-660530d12b77,mobile
relationship--09ad7d9f-d618-46c2-a9f3-e4a943245a72,mitigates,course-of-action--653492e3-27be-4a0e-b08c-938dd2b7e0e1,attack-pattern--defc1257-4db1-4fb3-8ef5-bb77f63146df,mobile
