id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code
course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,Network Intrusion Prevention,course-of-action,M1031,enterprise,,enterprise-attack,,0,59,59,0.0335990888382687,0.0,0.0335990888382687,0.0,0.0,1,0,1,0,28,0,2
course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,Vulnerability Scanning,course-of-action,M1016,enterprise,,enterprise-attack,,0,5,5,0.0028473804100227,0.0,0.0028473804100227,0.0,0.0,1,0,1,0,22,0,2
course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,Limit Access to Resource Over Network,course-of-action,M1035,enterprise,,enterprise-attack,,0,19,19,0.0108200455580865,0.0,0.0108200455580865,0.0,0.0,1,0,1,0,37,0,2
course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,Remote Data Storage,course-of-action,M1029,enterprise,,enterprise-attack,,0,11,11,0.0062642369020501,0.0,0.0062642369020501,0.0,0.0,3,0,1,0,19,0,2
course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,Filter Network Traffic,course-of-action,M1037,enterprise,,enterprise-attack,,0,49,49,0.0279043280182232,0.0,0.0279043280182232,0.0,0.0,1,0,1,0,22,0,2
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,Restrict Web-Based Content,course-of-action,M1021,enterprise,,enterprise-attack,,0,31,31,0.0176537585421412,0.0,0.0176537585421412,0.0,0.0,1,0,1,0,26,0,2
course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,Limit Software Installation,course-of-action,M1033,enterprise,,enterprise-attack,,0,17,17,0.0096810933940774,0.0,0.0096810933940774,0.0,0.0,1,0,1,0,27,0,2
course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,Application Developer Guidance,course-of-action,M1013,enterprise,,enterprise-attack | mobile-attack,,0,17,17,0.0096810933940774,0.0,0.0096810933940774,0.0,0.0,1,0,2,0,30,0,2
course-of-action--2995bc22-2851-4345-ad19-4e7e295be264,Limit Hardware Installation,course-of-action,M1034,enterprise,,enterprise-attack,,0,7,7,0.0039863325740318,0.0,0.0039863325740318,0.0,0.0,6,0,1,0,27,0,2
course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,User Training,course-of-action,M1017,enterprise,,enterprise-attack,,0,59,59,0.0335990888382687,0.0,0.0335990888382687,0.0,0.0,1,0,1,0,13,0,2
course-of-action--2c2ad92a-d710-41ab-a996-1db143bb4808,User Account Control,course-of-action,M1052,enterprise,,enterprise-attack,,0,7,7,0.0039863325740318,0.0,0.0039863325740318,0.0,0.0,2,0,1,0,20,0,2
course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,Operating System Configuration,course-of-action,M1028,enterprise,,enterprise-attack,,0,39,39,0.0222095671981776,0.0,0.0222095671981776,0.0,0.0,1,0,1,0,30,0,2
course-of-action--3efe43d1-6f3f-4fcb-ab39-4a730971f70b,Data Backup,course-of-action,M1053,enterprise,,enterprise-attack,,0,10,10,0.0056947608200455,0.0,0.0056947608200455,0.0,0.0,0,0,1,0,11,0,2
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,Execution Prevention,course-of-action,M1038,enterprise,,enterprise-attack,,0,80,80,0.0455580865603644,0.0,0.0455580865603644,0.0,0.0,2,0,1,0,20,0,2
course-of-action--49c06d54-9002-491d-9147-8efb537fbd26,Credential Access Protection,course-of-action,M1043,enterprise,,enterprise-attack,,0,10,10,0.0056947608200455,0.0,0.0056947608200455,0.0,0.0,1,0,1,0,28,0,2
