id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code,cluster_id,anomaly_score,is_anomaly,pca_x,pca_y
course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,Application Isolation and Sandboxing,course-of-action,M0948,ics,,ics-attack,,0,6,6,0.031578947368421,0.0,0.031578947368421,0.0,0.0,1,0,1,0,36,0,2,2,1,0,-1.2450520562944065,0.24784797140527237
course-of-action--11f242bc-3121-438c-84b2-5cbd46a4bb17,Filter Network Traffic,course-of-action,M0937,ics,,ics-attack,,0,15,15,0.0789473684210526,0.0,0.0789473684210526,0.0,0.0,0,0,1,0,22,0,2,0,1,0,-1.9078412247397223,3.4010743549335145
course-of-action--143b4398-3222-480a-b6a4-e131bc2d3144,Restrict Web-Based Content,course-of-action,M0921,ics,,ics-attack,,0,3,3,0.0157894736842105,0.0,0.0157894736842105,0.0,0.0,1,0,1,0,26,0,2,2,1,0,-1.1684005313093053,-0.8502967694171262
course-of-action--1cbcceef-3233-4062-aa86-ec91afe39517,Validate Program Inputs,course-of-action,M0818,ics,,ics-attack,,0,2,2,0.0105263157894736,0.0,0.0105263157894736,0.0,0.0,2,0,1,0,23,0,2,2,1,0,-1.172845509430297,-1.2835134872568699
course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,Network Segmentation,course-of-action,M0930,ics,,ics-attack,,0,28,28,0.1473684210526315,0.0,0.1473684210526315,0.0,0.0,0,0,1,0,20,0,2,0,-1,1,-2.7204931831745585,7.94337196105739
course-of-action--2ab9fc6d-3cf6-4d7b-85f1-3ad6949233b3,Restrict Library Loading,course-of-action,M0944,ics,,ics-attack,,0,1,1,0.0052631578947368,0.0,0.0052631578947368,0.0,0.0,0,0,1,0,24,0,2,2,1,0,-1.0343082175231315,-1.4913649095939185
course-of-action--2f0160b7-e982-49d7-9612-f19b810f1722,Active Directory Configuration,course-of-action,M0915,ics,,ics-attack,,0,1,1,0.0052631578947368,0.0,0.0052631578947368,0.0,0.0,1,0,1,0,30,0,2,2,1,0,-1.0042417852017325,-1.5314921799795451
course-of-action--3172222b-4983-43f7-8983-753ded4f13bc,Network Intrusion Prevention,course-of-action,M0931,ics,,ics-attack,,0,7,7,0.0368421052631578,0.0,0.0368421052631578,0.0,0.0,1,0,1,0,28,0,2,2,1,0,-1.3907264021642896,0.5598138173194407
course-of-action--3222a807-521b-4a1a-aa13-f1cda45734b3,Restrict Registry Permissions,course-of-action,M0924,ics,,ics-attack,,0,1,1,0.0052631578947368,0.0,0.0052631578947368,0.0,0.0,3,0,1,0,29,0,2,2,1,0,-1.081898028327144,-1.6737824160460508
course-of-action--337c4e2a-21a7-4d9a-bfee-9efd6cebf0e5,Data Loss Prevention,course-of-action,M0803,ics,,ics-attack,,0,2,2,0.0105263157894736,0.0,0.0105263157894736,0.0,0.0,0,0,1,0,20,0,2,2,1,0,-1.1375859148489498,-1.1603111574350573
