id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code,cluster_id,anomaly_score,is_anomaly,pca_x,pca_y
course-of-action--0beabf44-e8d8-4ae4-9122-ef56369a2564,Use Recent OS Version,course-of-action,M1006,mobile,,mobile-attack,,0,35,35,0.1206896551724137,0.0,0.1206896551724137,0.0,0.0,1,0,1,0,21,0,2,2,-1,1,-1.0676076877361134,5.001871868866367
course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,Application Developer Guidance,course-of-action,M1013,mobile,,enterprise-attack | mobile-attack,,0,7,7,0.0241379310344827,0.0,0.0241379310344827,0.0,0.0,1,0,2,0,30,0,2,4,1,0,-1.4200166925857012,-0.37868695874923225
course-of-action--649f7268-4c12-483b-ac84-4b7bca9fe2ee,Enterprise Policy,course-of-action,M1012,mobile,,mobile-attack,,0,19,19,0.0655172413793103,0.0,0.0655172413793103,0.0,0.0,1,0,1,0,17,0,2,2,1,0,-1.2707709720394795,2.202617759704499
course-of-action--653492e3-27be-4a0e-b08c-938dd2b7e0e1,User Guidance,course-of-action,M1011,mobile,,mobile-attack,,0,49,49,0.1689655172413793,0.0,0.1689655172413793,0.0,0.0,1,0,1,0,13,0,2,2,-1,1,-1.117733119465063,7.798935276311147
course-of-action--76a32151-5233-465f-a607-7e576c62c932,Do Not Mitigate,course-of-action,M1059,mobile,,mobile-attack,,0,1,1,0.0034482758620689,0.0,0.0034482758620689,0.0,0.0,4,0,1,0,15,0,2,0,1,0,-1.5412297035538176,-1.1590603327913558
course-of-action--78671282-26aa-486c-a7a5-5921e1616b58,Antivirus/Antimalware,course-of-action,M1058,mobile,,mobile-attack,,0,2,2,0.0068965517241379,0.0,0.0068965517241379,0.0,0.0,2,0,1,0,21,0,2,0,1,0,-1.3536239724665828,-1.066680467637142
course-of-action--7b1cf46f-784b-405a-a8dd-4624c19d8321,System Partition Integrity,course-of-action,M1004,mobile,,mobile-attack,,0,7,7,0.0241379310344827,0.0,0.0241379310344827,0.0,0.0,2,0,1,0,26,0,2,0,1,0,-1.2158224117214345,-0.3052992308919315
course-of-action--8220b57e-c400-4525-bf69-f8edc6b389a8,Encrypt Network Traffic,course-of-action,M1009,mobile,,mobile-attack,,0,2,2,0.0068965517241379,0.0,0.0068965517241379,0.0,0.0,5,0,1,0,23,0,2,0,1,0,-1.405432413726347,-1.264079597676843
course-of-action--8ccd428d-39da-4e8f-a55b-d48ea1d56e58,Lock Bootloader,course-of-action,M1003,mobile,,mobile-attack,,0,3,3,0.0103448275862068,0.0,0.0103448275862068,0.0,0.0,2,0,1,0,15,0,2,0,1,0,-1.4647813245315329,-0.7027509652014052
course-of-action--bcecd036-f40e-4916-9f8e-fd0ccf0ece8d,Security Updates,course-of-action,M1001,mobile,,mobile-attack,,0,18,18,0.0620689655172413,0.0,0.0620689655172413,0.0,0.0,2,0,1,0,16,0,2,2,1,0,-1.3288119707240476,2.0046992552076217
