id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,cluster_id,is_anomaly,pca_x,pca_y
course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,Network Intrusion Prevention,course-of-action,M1031,enterprise,,enterprise-attack,,0,59,59,0.027014652014652,0.0,0.027014652014652,0.0,0.0,1,4,0,-0.1621581913660967,3.5808167754566793
course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,Vulnerability Scanning,course-of-action,M1016,enterprise,,enterprise-attack,,0,5,5,0.0022893772893772,0.0,0.0022893772893772,0.0,0.0,1,1,0,-0.877270384297676,-0.4604360301155883
course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,Limit Access to Resource Over Network,course-of-action,M1035,enterprise,,enterprise-attack,,0,19,19,0.0086996336996337,0.0,0.0086996336996337,0.0,0.0,1,1,0,-0.468273550783145,0.1898931244422917
course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,Remote Data Storage,course-of-action,M1029,enterprise,,enterprise-attack,,0,11,11,0.00503663003663,0.0,0.00503663003663,0.0,0.0,3,1,0,-0.8795923822502274,0.0746683720354184
course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,Filter Network Traffic,course-of-action,M1037,enterprise,,enterprise-attack,,0,49,49,0.0224358974358974,0.0,0.0224358974358974,0.0,0.0,1,4,0,-0.3758945120015242,2.9769468278381552
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,Restrict Web-Based Content,course-of-action,M1021,enterprise,,enterprise-attack,,0,31,31,0.0141941391941391,0.0,0.0141941391941391,0.0,0.0,1,1,0,-0.5144779842287796,1.4525091301249178
course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,Limit Software Installation,course-of-action,M1033,enterprise,,enterprise-attack,,0,17,17,0.0077838827838827,0.0,0.0077838827838827,0.0,0.0,1,1,0,-0.6573754610768074,0.3292374977293261
course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,Application Developer Guidance,course-of-action,M1013,enterprise,,enterprise-attack | mobile-attack,,0,24,24,0.0109890109890109,0.0,0.0109890109890109,0.0,0.0,2,4,0,-0.693452837006981,1.997732646128595
course-of-action--2995bc22-2851-4345-ad19-4e7e295be264,Limit Hardware Installation,course-of-action,M1034,enterprise,,enterprise-attack,,0,7,7,0.0032051282051282,0.0,0.0032051282051282,0.0,0.0,5,1,0,-0.8129201343800477,-0.496598556134677
course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,User Training,course-of-action,M1017,enterprise,,enterprise-attack,,0,59,59,0.027014652014652,0.0,0.027014652014652,0.0,0.0,1,4,0,-0.4116263382409423,4.024200348429542
course-of-action--2c2ad92a-d710-41ab-a996-1db143bb4808,User Account Control,course-of-action,M1052,enterprise,,enterprise-attack,,0,7,7,0.0032051282051282,0.0,0.0032051282051282,0.0,0.0,3,1,0,-0.908540797212766,-0.2673798835525035
course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,Operating System Configuration,course-of-action,M1028,enterprise,,enterprise-attack,,0,39,39,0.0178571428571428,0.0,0.0178571428571428,0.0,0.0,1,1,0,-0.3567938955537623,1.9592522121116251
course-of-action--3efe43d1-6f3f-4fcb-ab39-4a730971f70b,Data Backup,course-of-action,M1053,enterprise,,enterprise-attack,,0,10,10,0.0045787545787545,0.0,0.0045787545787545,0.0,0.0,0,1,0,-0.9928402582087136,0.2664767810657647
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,Execution Prevention,course-of-action,M1038,enterprise,,enterprise-attack,,0,80,80,0.0366300366300366,0.0,0.0366300366300366,0.0,0.0,3,4,1,-0.0767126454486974,5.435550767143471
course-of-action--49c06d54-9002-491d-9147-8efb537fbd26,Credential Access Protection,course-of-action,M1043,enterprise,,enterprise-attack,,0,10,10,0.0045787545787545,0.0,0.0045787545787545,0.0,0.0,1,1,0,-0.7205085946049933,-0.2471777709008985
course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,Code Signing,course-of-action,M1045,enterprise,,enterprise-attack,,0,22,22,0.01007326007326,0.0,0.01007326007326,0.0,0.0,1,1,0,-0.8498690770089086,1.1632327591060236
course-of-action--609191bf-7d06-40e4-b1f8-9e11eb3ff8a6,Environment Variable Permissions,course-of-action,M1039,enterprise,,enterprise-attack,,0,2,2,0.0009157509157509,0.0,0.0009157509157509,0.0,0.0,1,1,0,-0.7451430049467579,-0.9903920918064574
course-of-action--65401701-019d-44ff-b223-08d520bb0e7b,Data Loss Prevention,course-of-action,M1057,enterprise,,enterprise-attack,,0,12,12,0.0054945054945054,0.0,0.0054945054945054,0.0,0.0,1,1,0,-0.8307684605611466,0.1455381433794939
course-of-action--72dade3e-1cba-4182-b3b3-a77ca52f02a1,Privileged Process Integrity,course-of-action,M1025,enterprise,,enterprise-attack,,0,7,7,0.0032051282051282,0.0,0.0032051282051282,0.0,0.0,1,1,0,-0.754693313170639,-0.4815447839431926
course-of-action--787fb64d-c87b-4ee5-a341-0ef17ec4c15c,Do Not Mitigate,course-of-action,M1055,enterprise,,enterprise-attack,,0,3,3,0.0013736263736263,0.0,0.0013736263736263,0.0,0.0,0,1,0,-1.0060797623619302,-0.3986152021590323
course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,Pre-compromise,course-of-action,M1056,enterprise,,enterprise-attack,,0,84,84,0.0384615384615384,0.0,0.0384615384615384,0.0,0.0,1,4,1,-0.110122473735564,5.947699885583851
course-of-action--7bb5fae9-53ad-4424-866b-f0ea2a8b731d,SSL/TLS Inspection,course-of-action,M1020,enterprise,,enterprise-attack,,0,4,4,0.0018315018315018,0.0,0.0018315018315018,0.0,0.0,6,1,0,-1.0071846439250405,-0.4760885946573474
course-of-action--7da0387c-ba92-4553-b291-b636ee42b2eb,Boot Integrity,course-of-action,M1046,enterprise,,enterprise-attack,,0,14,14,0.0064102564102564,0.0,0.0064102564102564,0.0,0.0,1,1,0,-0.907765906933986,0.4791362479301796
course-of-action--80a0e940-f683-4fbd-ac00-e9f935f2f808,Out-of-Band Communications Channel,course-of-action,M1060,enterprise,,enterprise-attack,,0,7,7,0.0032051282051282,0.0,0.0032051282051282,0.0,0.0,1,1,0,-0.6549060544207008,-0.6588982131323379
course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,Network Segmentation,course-of-action,M1030,enterprise,,enterprise-attack,,0,37,37,0.0169413919413919,0.0,0.0169413919413919,0.0,0.0,1,1,0,-0.5458958058474238,2.098596585398668
course-of-action--874c0166-e407-45c2-a1d9-e4e3a6570fd8,Threat Intelligence Program,course-of-action,M1019,enterprise,,enterprise-attack,,0,5,5,0.0022893772893772,0.0,0.0022893772893772,0.0,0.0,1,1,0,-0.7941143353393941,-0.608230554439876
course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,Password Policies,course-of-action,M1027,enterprise,,enterprise-attack,,0,47,47,0.0215201465201465,0.0,0.0215201465201465,0.0,0.0,1,4,0,-0.4818403733369036,2.9684966768009104
course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46,Behavior Prevention on Endpoint,course-of-action,M1040,enterprise,,enterprise-attack,,0,51,51,0.0233516483516483,0.0,0.0233516483516483,0.0,0.0,3,4,0,-0.2242216172083955,2.844855020887799
course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,User Account Management,course-of-action,M1018,enterprise,,enterprise-attack,,0,120,120,0.0549450549450549,0.0,0.0549450549450549,0.0,0.0,1,4,1,0.4497750371771035,8.494073898307736
course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,Restrict File and Directory Permissions,course-of-action,M1022,enterprise,,enterprise-attack,,0,61,61,0.0279304029304029,0.0,0.0279304029304029,0.0,0.0,3,4,1,0.0227771230103446,3.389607158776609
course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,Privileged Account Management,course-of-action,M1026,enterprise,,enterprise-attack,,0,112,112,0.0512820512820512,0.0,0.0512820512820512,0.0,0.0,1,4,1,0.45840304641865,7.691741767672456
course-of-action--a2c36a5d-4058-475e-8e77-fff75e50d3b9,Restrict Registry Permissions,course-of-action,M1024,enterprise,,enterprise-attack,,0,20,20,0.0091575091575091,0.0,0.0091575091575091,0.0,0.0,3,1,0,-0.6107261286367239,0.4821803625137427
course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,Antivirus/Antimalware,course-of-action,M1049,enterprise,,enterprise-attack,,0,23,23,0.0105311355311355,0.0,0.0105311355311355,0.0,0.0,3,1,0,-0.7095910884043279,0.9530186144749055
course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,Multi-factor Authentication,course-of-action,M1032,enterprise,,enterprise-attack,,0,48,48,0.0219780219780219,0.0,0.0219780219780219,0.0,0.0,1,4,0,-0.3041333692317917,2.751029965833097
course-of-action--b5dbb4c5-b0b1-40b1-80b6-e9e84ab90067,Software Configuration,course-of-action,M1054,enterprise,,enterprise-attack,,0,37,37,0.0169413919413919,0.0,0.0169413919413919,0.0,0.0,1,1,0,-0.512633386264111,2.039478775668953
course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463,Application Isolation and Sandboxing,course-of-action,M1048,enterprise,,enterprise-attack,,0,14,14,0.0064102564102564,0.0,0.0064102564102564,0.0,0.0,1,1,0,-0.5418792915175459,-0.1711596590966856
course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,Audit,course-of-action,M1047,enterprise,,enterprise-attack,,0,109,109,0.0499084249084249,0.0,0.0499084249084249,0.0,0.0,1,4,1,0.0250692928532512,8.166788471386742
course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3,Exploit Protection,course-of-action,M1050,enterprise,,enterprise-attack,,0,12,12,0.0054945054945054,0.0,0.0054945054945054,0.0,0.0,1,1,0,-0.8640308801444593,0.2046559531092089
course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,Active Directory Configuration,course-of-action,M1015,enterprise,,enterprise-attack,,0,15,15,0.0068681318681318,0.0,0.0068681318681318,0.0,0.0,1,1,0,-0.6302716440789359,0.0843161077732213
course-of-action--e5d930e9-775a-40ad-9bdb-b941d8dfe86b,Update Software,course-of-action,M1051,enterprise,,enterprise-attack,,0,42,42,0.0192307692307692,0.0,0.0192307692307692,0.0,0.0,1,1,0,-0.5720773238629612,2.6370027981267907
course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff,Restrict Library Loading,course-of-action,M1044,enterprise,,enterprise-attack,,0,3,3,0.0013736263736263,0.0,0.0013736263736263,0.0,0.0,3,1,0,-0.887595582800337,-0.6981048537350065
course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,Disable or Remove Feature or Program,course-of-action,M1042,enterprise,,enterprise-attack,,0,71,71,0.0325091575091575,0.0,0.0325091575091575,0.0,0.0,1,4,1,0.1076303612297409,4.281813588707022
course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,Account Use Policies,course-of-action,M1036,enterprise,,enterprise-attack,,0,10,10,0.0045787545787545,0.0,0.0045787545787545,0.0,0.0,1,1,0,-0.8535582729382443,-0.0107065319820384
course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,Encrypt Sensitive Information,course-of-action,M1041,enterprise,,enterprise-attack,,0,33,33,0.0151098901098901,0.0,0.0151098901098901,0.0,0.0,1,1,0,-0.4417945424767115,1.520077090891886
malware--007b44b6-e4c5-480b-b5b9-56f2081b1b7b,HDoor,malware,S0061,enterprise,Windows,enterprise-attack,,1,2,3,0.0013736263736263,0.0004578754578754,0.0009157509157509,0.0,0.0004578754578754,1,1,0,-1.206742918679182,0.0354759268000445
malware--00806466-754d-44ea-ad6f-0caf59cb8556,TrickBot,malware,S0266,enterprise,Windows,enterprise-attack,,2,55,57,0.0260989010989011,0.0009157509157509,0.0251831501831501,0.0,0.0009157509157509,1,4,0,-0.4932389391027498,4.11017825432837
malware--00936d7a-451d-4a9c-88fc-05b141aa2d3f,cd00r,malware,S1204,enterprise,Network Devices,enterprise-attack,,0,4,4,0.0018315018315018,0.0,0.0018315018315018,0.0,0.0,3,1,0,-1.2644312342193231,0.1465191185911458
malware--00c3bfcb-99bd-4767-8c03-b08f585f5c8a,PowerDuke,malware,S0139,enterprise,Windows,enterprise-attack,,1,15,16,0.0073260073260073,0.0004578754578754,0.0068681318681318,0.0,0.0004578754578754,0,1,0,-0.981685396206981,0.9439838664546656
malware--00e7d565-9883-4ee5-b642-8fd17fd6a3f5,EKANS,malware,S0605,enterprise,Windows,enterprise-attack | ics-attack,,0,13,13,0.0059523809523809,0.0,0.0059523809523809,0.0,0.0,0,4,0,-1.2860168157296157,2.104548334002862
malware--01dbc71d-0ee8-420d-abb4-3dfb6a4bf725,BLINDINGCAN,malware,S0520,enterprise,Windows,enterprise-attack,,1,22,23,0.0105311355311355,0.0004578754578754,0.01007326007326,0.0,0.0004578754578754,0,1,0,-0.868658633303826,1.4317224204903176
malware--023254de-caaf-4a05-b2c7-e4e2f283f7a5,Ninja,malware,S1100,enterprise,Windows,enterprise-attack,,1,28,29,0.0132783882783882,0.0004578754578754,0.0128205128205128,0.0,0.0004578754578754,0,1,0,-0.9000764549224727,2.077809875764066
malware--02739f57-7585-4319-acd3-794ae8ff3a70,Pikabot,malware,S1145,enterprise,Windows,enterprise-attack,,3,21,24,0.0109890109890109,0.0013736263736263,0.0096153846153846,0.0,0.0013736263736263,0,1,0,-0.8272177342422696,1.5176259923535065
malware--039814a0-88de-46c5-a4fb-b293db21880a,Wiarp,malware,S0206,enterprise,Windows,enterprise-attack,,1,4,5,0.0022893772893772,0.0004578754578754,0.0018315018315018,0.0,0.0004578754578754,0,1,0,-1.1735542034476465,0.2028737714256622
malware--03acae53-9b98-46f6-b204-16b930839055,RCSession,malware,S0662,enterprise,Windows,enterprise-attack,,2,22,24,0.0109890109890109,0.0009157509157509,0.01007326007326,0.0,0.0009157509157509,0,1,0,-0.8422407306787711,1.513735375262293
malware--03ea629c-517a-41e3-94f8-c7e5368cf8f4,Spark,malware,S0543,enterprise,Windows,enterprise-attack,,1,10,11,0.00503663003663,0.0004578754578754,0.0045787545787545,0.0,0.0004578754578754,0,1,0,-1.105184766316351,0.6716077975102608
